_id,jobcode,date,mean,std
144,MBRREC06,Jan-17,172.1666667,572.7692053
145,MBRREC06,Dec-16,1,0
146,MBRREC07,Aug-18,2,0
147,MBRREC07,Jul-18,3,1.224744871
148,MBRREC07,Jun-18,3.5,0.75
149,MBRREC07,May-18,5,0
150,MBRREC07,Apr-18,3,0
151,MBRREC07,Feb-18,1.5,0.75
152,MBRREC07,Dec-17,2,0
153,MBRREC07,Oct-17,1,0
154,MBRREC07,Jul-17,1.8,1.122497216
155,MBRREC07,Jun-17,1,0
156,MBRREC07,May-17,1,0
157,MBRREC07,Apr-17,1.166666667,0.559016994
158,MBRREC07,Mar-17,1.2,0.6
159,MBRREC07,Feb-17,2,0
160,MBRREC07,Jan-16,2.5,0.75
161,MBRREC07,Jan-17,896.6666667,73.40640299
162,MBRREC07,Jan-16,861,0
163,MBRREC07,Jan-17,122.2857143,445.6321696
164,MBRREC07,Dec-16,NaN,NaN
165,MBRREC08,Aug-18,3003,0
166,MBRREC08,Jul-18,2996,88.59740403
167,MBRREC08,Jun-18,2837,405
168,MBRREC08,May-18,3385,0
169,MBRREC08,Apr-18,3,0
170,MBRREC08,Feb-18,2095.5,114.75
171,MBRREC08,Dec-17,2317,0
172,MBRREC08,Oct-17,1716,0
173,MBRREC08,Jul-17,1904.2,323.8102222
174,MBRREC08,Jun-17,1719,0
175,MBRREC08,May-17,1823,0
176,MBRREC08,Apr-17,1921.375,606.915894
177,MBRREC08,Mar-17,2065.8,409.9897072
178,MBRREC08,Feb-17,1507,0
179,MBRREC08,Jan-16,1564,123
180,MBRREC08,Jan-17,1780.333333,581.7916294
181,MBRREC08,Jan-16,1511,0
182,MBRREC08,Jan-17,443.6666667,937.9773451
183,MBRREC08,Jan-16,3,0
184,MBRREC09,Aug-18,2278,0
185,MBRREC09,Jul-18,2166,38.49675311
186,MBRREC09,Jun-18,2851.5,33.75
187,MBRREC09,May-18,3153,0
188,MBRREC09,Apr-18,2,0
189,MBRREC09,Feb-18,1540.5,123.75
190,MBRREC09,Dec-17,1474,0
191,MBRREC09,Oct-17,1297,0
192,MBRREC09,Jul-17,1542.6,432.7218968
193,MBRREC09,Jun-17,1408,0
194,MBRREC09,May-17,1501,0
195,MBRREC09,Apr-17,1483.444444,439.6220599
196,MBRREC09,Mar-17,1822.4,491.1382087
197,MBRREC09,Feb-17,1262,0
198,MBRREC09,Jan-16,1777.5,522.75
199,MBRREC09,Jan-17,2971.333333,200.3434551
200,MBRREC09,Jan-16,4220,0
201,MBRREC09,Jan-17,896.3333333,1896.107724
202,MBRREC09,Jan-16,1,0
203,MBRREC10,Aug-18,4808,0
204,MBRREC10,Jul-18,5096.333333,80.51086883
205,MBRREC10,Jun-18,5236.5,137.25
206,MBRREC10,May-18,7702,0
207,MBRREC10,Apr-18,2,0
208,MBRREC10,Feb-18,3601,306
209,MBRREC10,Dec-17,3793,0
210,MBRREC10,Oct-17,4016,0
211,MBRREC10,Jul-17,3554.4,825.0712333
212,MBRREC10,Jun-17,3101,0
213,MBRREC10,May-17,4526,0
214,MBRREC10,Apr-17,4058.75,1649.625085
215,MBRREC10,Mar-17,3596.5,510.0325357
216,MBRREC10,Feb-17,3660,0
217,MBRREC10,Mar-17,3422,0
218,MBRREC10,Feb-17,920.875,2353.276332
219,MBRREC10,Jan-16,1591.5,2385.75
220,MBRREC10,Jan-17,1,0
221,MBRREC10,Jan-16,1,0
222,MBRREC10,Jan-17,1.333333333,0.707106781
223,MBRREC10,Jan-16,1,0
224,MBRREC11,Aug-18,1300,0
225,MBRREC11,Jul-18,1344.666667,178.4320599
226,MBRREC11,Jun-18,1377,214.5
227,MBRREC11,May-18,1392,0
228,MBRREC11,Apr-18,4,0
229,MBRREC11,Feb-18,1173.5,288.75
230,MBRREC11,Dec-17,955,0
231,MBRREC11,Oct-17,1003,0
232,MBRREC11,Jul-17,1027.8,172.6952808
233,MBRREC11,Jun-17,916,0
234,MBRREC11,May-17,1031,0
235,MBRREC11,Apr-17,1071.222222,426.3049248
236,MBRREC11,Mar-17,1125.2,384.0778046
237,MBRREC11,Feb-17,852,0
238,MBRREC11,Jan-16,867,36
239,MBRREC11,Jan-17,202.3333333,3.937003937
240,MBRREC11,Jan-16,195,0
241,MBRREC11,Jan-17,181,0
242,MBRREC11,Jan-16,NaN,NaN
243,MBRREC12,Jul-18,162,0
244,MBRREC12,Jun-18,85.5,117.75
245,MBRREC12,May-18,394,0
246,MBRREC12,Apr-18,3,0
247,MBRREC12,Jan-18,79,0
248,MBRREC12,Mar-18,81.33333333,164.0487732
249,MBRREF01,Nov-18,173.1818182,28.17749234
250,MBRREF01,Oct-18,174.3928571,47.31770538
251,MBRREF01,Sep-18,197.2857143,74.89155425
252,MBRREF01,Aug-18,389,0
253,MBRREF01,Sep-18,168.3333333,18.68154169
254,MBRREF01,Aug-18,208.8333333,99.22858711
255,MBRREF01,Jul-18,452,0
256,MBRREF01,Aug-18,211.4761905,113.4409403
257,MBRREF01,Jul-18,255.7826087,129.9000124
258,MBRREF01,Jun-18,3,0
259,MBRREF01,Jul-18,219.875,46.27224972
260,MBRREF01,Jun-18,293,67.98161516
261,MBRREF01,Apr-18,489,0
262,MBRREF01,Jun-18,215.8181818,52.76550338
263,MBRREF01,May-18,255.5,124.3731066
264,MBRREF01,Apr-18,304.0588235,141.0783299
265,MBRREF01,Feb-18,385,0
266,MBRREF01,Apr-18,263.2222222,87.22894525
267,MBRREF01,Mar-18,733.5384615,541.5204925
268,MBRREF01,Feb-18,560.7391304,451.00024
269,MBRREF01,Dec-17,335,0
270,MBRREF01,Feb-18,507.3333333,478.099885
271,MBRREF01,Jan-18,630.2222222,442.6797814
272,MBRREF01,Dec-17,549.3529412,418.9635135
273,MBRREF01,Oct-17,251,0
274,MBRREF01,Dec-17,698.9090909,314.5636293
275,MBRREF01,Nov-17,631.125,410.7885662
276,MBRREF01,Oct-17,233,57
277,MBRREF01,Jul-17,345,0
278,MBRREF01,Oct-17,664.44,1074.462226
279,MBRREF01,Sep-17,795.0909091,1194.241516
280,MBRREF01,Aug-17,423.2222222,210.6246002
281,MBRREF01,Jul-17,583.1176471,1122.235177
282,MBRREF01,Jun-17,251,0
283,MBRREF01,Jul-17,457.2857143,374.3623558
284,MBRREF01,Jun-17,382.5652174,208.6980571
285,MBRREF01,Apr-17,227,0
286,MBRREF01,Jun-17,399.8,272.4792836
