116, MBRREC05, 7/2017, 2909.2, 4964.380148618758
117, MBRREC05, 6/2017, 1252.0, 0.0
118, MBRREC05, 5/2017, 1382.0, 0.0
119, MBRREC05, 4/2017, 1327.7777777777778, 575.381515943021
120, MBRREC05, 3/2017, 1372.0, 254.8711439139394
121, MBRREC05, 2/2017, 1123.0, 0.0
122, MBRREC05, 1/2016, 1329.0, 318.0
123, MBRREC05, 1/2017, 9572.333333333334, 5815.375654246251
124, MBRREC05, 1/2016, 4686.0, 0.0
125, MBRREC05, 1/2017, 864.6, 2589.3000868960708
126, MBRREC05, 12/2016, NaN, NaN
127, MBRREC06, 8/2018, 11255.0, 0.0
128, MBRREC06, 7/2018, 12551.0, 1314.236850799733
129, MBRREC06, 6/2018, 16059.5, 7920.75
130, MBRREC06, 5/2018, 13362.0, 0.0
131, MBRREC06, 4/2018, 3.0, 0.0
132, MBRREC06, 2/2018, 5822.5, 470.25
133, MBRREC06, 12/2017, 5888.0, 0.0
134, MBRREC06, 10/2017, 7931.0, 0.0
135, MBRREC06, 7/2017, 4885.4, 207.1403871773923
136, MBRREC06, 6/2017, 5143.0, 0.0
137, MBRREC06, 5/2017, 6702.0, 0.0
138, MBRREC06, 4/2017, 5363.625, 1374.7330067484922
139, MBRREC06, 3/2017, 5484.8, 654.8474326131239
140, MBRREC06, 2/2017, 4671.0, 0.0
141, MBRREC06, 1/2016, 4959.5, 953.25
142, MBRREC06, 1/2017, 1210.3333333333333, 83.47454701883683
143, MBRREC06, 1/2016, 1134.0, 0.0
144, MBRREC06, 1/2017, 172.16666666666666, 572.7692052650875
145, MBRREC06, 12/2016, 1.0, 0.0
146, MBRREC07, 8/2018, 2.0, 0.0
147, MBRREC07, 7/2018, 3.0, 1.224744871391589
148, MBRREC07, 6/2018, 3.5, 0.75
149, MBRREC07, 5/2018, 5.0, 0.0
150, MBRREC07, 4/2018, 3.0, 0.0
151, MBRREC07, 2/2018, 1.5, 0.75
152, MBRREC07, 12/2017, 2.0, 0.0
153, MBRREC07, 10/2017, 1.0, 0.0
154, MBRREC07, 7/2017, 1.8, 1.1224972160321824
155, MBRREC07, 6/2017, 1.0, 0.0
156, MBRREC07, 5/2017, 1.0, 0.0
157, MBRREC07, 4/2017, 1.1666666666666667, 0.5590169943749473
158, MBRREC07, 3/2017, 1.2, 0.6000000000000001
159, MBRREC07, 2/2017, 2.0, 0.0
160, MBRREC07, 1/2016, 2.5, 0.75
161, MBRREC07, 1/2017, 896.6666666666666, 73.40640299047489
162, MBRREC07, 1/2016, 861.0, 0.0
163, MBRREC07, 1/2017, 122.28571428571429, 445.6321696334826
164, MBRREC07, 12/2016, NaN, NaN
165, MBRREC08, 8/2018, 3003.0, 0.0
166, MBRREC08, 7/2018, 2996.0, 88.59740402517446
167, MBRREC08, 6/2018, 2837.0, 405.0
168, MBRREC08, 5/2018, 3385.0, 0.0
169, MBRREC08, 4/2018, 3.0, 0.0
170, MBRREC08, 2/2018, 2095.5, 114.75
171, MBRREC08, 12/2017, 2317.0, 0.0
172, MBRREC08, 10/2017, 1716.0, 0.0
173, MBRREC08, 7/2017, 1904.2, 323.8102221981264
174, MBRREC08, 6/2017, 1719.0, 0.0
175, MBRREC08, 5/2017, 1823.0, 0.0
176, MBRREC08, 4/2017, 1921.375, 606.9158939620464
177, MBRREC08, 3/2017, 2065.8, 409.98970718787564
178, MBRREC08, 2/2017, 1507.0, 0.0
179, MBRREC08, 1/2016, 1564.0, 123.0
180, MBRREC08, 1/2017, 1780.3333333333333, 581.7916293657034
181, MBRREC08, 1/2016, 1511.0, 0.0
182, MBRREC08, 1/2017, 443.6666666666667, 937.9773451421947
183, MBRREC08, 1/2016, 3.0, 0.0
184, MBRREC09, 8/2018, 2278.0, 0.0
185, MBRREC09, 7/2018, 2166.0, 38.49675310984031
186, MBRREC09, 6/2018, 2851.5, 33.75
187, MBRREC09, 5/2018, 3153.0, 0.0
188, MBRREC09, 4/2018, 2.0, 0.0
189, MBRREC09, 2/2018, 1540.5, 123.75
190, MBRREC09, 12/2017, 1474.0, 0.0
191, MBRREC09, 10/2017, 1297.0, 0.0
192, MBRREC09, 7/2017, 1542.6, 432.721896834445
193, MBRREC09, 6/2017, 1408.0, 0.0
194, MBRREC09, 5/2017, 1501.0, 0.0
195, MBRREC09, 4/2017, 1483.4444444444443, 439.6220599055006
196, MBRREC09, 3/2017, 1822.4, 491.1382086541425
197, MBRREC09, 2/2017, 1262.0, 0.0
198, MBRREC09, 1/2016, 1777.5, 522.75
199, MBRREC09, 1/2017, 2971.3333333333335, 200.34345509649177
200, MBRREC09, 1/2016, 4220.0, 0.0
201, MBRREC09, 1/2017, 896.3333333333334, 1896.107723733016
202, MBRREC09, 1/2016, 1.0, 0.0
203, MBRREC10, 8/2018, 4808.0, 0.0
204, MBRREC10, 7/2018, 5096.333333333333, 80.51086883148139
205, MBRREC10, 6/2018, 5236.5, 137.25
206, MBRREC10, 5/2018, 7702.0, 0.0
207, MBRREC10, 4/2018, 2.0, 0.0
208, MBRREC10, 2/2018, 3601.0, 306.0
209, MBRREC10, 12/2017, 3793.0, 0.0
210, MBRREC10, 10/2017, 4016.0, 0.0
211, MBRREC10, 7/2017, 3554.4, 825.071233288375
212, MBRREC10, 6/2017, 3101.0, 0.0
