11/2018, 429.5, 463.831506763681
10/2018, 714.8387096774194, 959.3492548159512
9/2018, 1450.7, 1617.3774781004795
8/2018, 1198.4193548387098, 1716.754986497156
7/2018, 1097.741935483871, 1536.1845460156387
6/2018, 838.9666666666667, 1375.7098999748778
5/2018, 807.9354838709677, 1311.0564994083966
4/2018, 1086.6, 1755.9095344958218
3/2018, 1356.9032258064517, 2076.3961555534356
2/2018, 1155.3703703703704, 1585.9471896441546
1/2018, 1182.4516129032259, 1709.1858721255173
12/2017, 863.5483870967741, 955.2781508406152
11/2017, 901.1333333333333, 1393.1355266288901
10/2017, 964.9354838709677, 1226.9020977829587
9/2017, 806.6, 1189.5107789899737
8/2017, 888.8709677419355, 967.7417333333123
7/2017, 625.5483870967741, 614.9880331822206
6/2017, 545.1, 605.7078173509072
5/2017, 523.2258064516129, 490.20777942983284
4/2017, 513.0333333333333, 1631.6583370573906
3/2017, 697.578947368421, 3708.625525832816
1/2017, 163.0, 0.0
